Price,District,City,Town,Type,EnergyCertificate,Floor,Lift,Parking,HasParking,ConstructionYear,TotalArea,GrossArea,PublishDate,Garage,Elevator,ElectricCarsCharging,TotalRooms,NumberOfBedrooms,NumberOfWC,ConservationStatus,LivingArea,LotSize,BuiltArea,NumberOfBathrooms
250000.0,Faro,São Brás de Alportel,São Brás de Alportel,Apartment,A+,2nd Floor,True,1.0,True,,114.0,,,,,,2.0,,,,114.0,,,2.0
9500.0,Faro,Albufeira,Albufeira e Olhos de Água,Apartment,NC,1st Floor,True,0.0,False,1990.0,27.0,,,,,,0.0,,,,27.0,,,1.0
580000.0,Faro,Vila do Bispo,Budens,Apartment,D,3rd Floor,False,1.0,True,2003.0,84.0,,,,,,2.0,,,,84.0,,,2.0
350000.0,Faro,Portimão,Portimão,Apartment,C,4th Floor,True,0.0,False,1985.0,68.0,,,,,,2.0,,,,68.0,,,1.0
175000.0,Faro,Faro,Faro (Sé e São Pedro),House,NC,,False,0.0,False,1950.0,78.0,,,,,,4.0,,,,78.0,,,2.0
1485000.0,Faro,Loulé,Quarteira,House,D,Ground Floor,False,2.0,True,2004.0,472.0,,,,,,4.0,,,,414.0,,,5.0
1500000.0,Faro,Faro,Faro (Sé e São Pedro),Apartment,A,5th Floor,True,3.0,True,2018.0,421.0,313.0,,,,,7.0,,,,262.0,,,
25000.0,Faro,Portimão,Portimão,Garage,NC,Basement Level,True,1.0,True,1982.0,15.0,,,,,,0.0,,,,15.0,,,0.0
260000.0,Faro,Lagos,São Gonçalo de Lagos,Apartment,C,2nd Floor,False,0.0,False,1999.0,105.0,114.0,,,,,2.0,,,,105.0,,,2.0
235000.0,Faro,Faro,Faro (Sé e São Pedro),House,NC,,False,0.0,False,,63.0,,,,,,1.0,,,,63.0,,,2.0
320000.0,Leiria,Peniche,Peniche,Land,NC,,False,0.0,False,,3320.0,0.0,,,,,,,,,0.0,,,1.0
595000.0,Faro,Lagos,São Gonçalo de Lagos,Apartment,A,Ground Floor,True,1.0,True,2022.0,98.0,112.0,,,,,2.0,,,,79.0,,,2.0
100000.0,Faro,Alcoutim,Alcoutim e Pereiro,Land,NC,,False,0.0,False,,24920.0,,,,,,,,,,,,,0.0
420000.0,Faro,Portimão,Alvor,House,D,,False,1.0,True,1998.0,140.0,185.0,,,,,6.0,,,,158.0,,,5.0
1700000.0,Faro,Albufeira,Albufeira e Olhos de Água,House,B-,,False,3.0,True,2001.0,800.0,,,,,,7.0,,,,251.0,,,0.0
340000.0,Faro,Loulé,São Sebastião,Apartment,A,3rd Floor,True,1.0,True,2023.0,94.0,110.0,,,,,2.0,,,,75.0,,,2.0
780000.0,Vila Real,Valpaços,Carrazedo de Montenegro e Curros,Farm,NC,,False,0.0,False,,552450.0,200.0,,,,,,,,,120.0,,,0.0
250000.0,Faro,São Brás de Alportel,São Brás de Alportel,Apartment,A+,1st Floor,True,1.0,True,,114.0,,,,,,2.0,,,,114.0,,,0.0
2950000.0,Faro,Albufeira,Albufeira e Olhos de Água,Building,NC,,False,0.0,False,1998.0,265.0,465.0,,,,,,,,,406.0,,,0.0
158000.0,Faro,Portimão,Portimão,Apartment,D,2nd Floor,True,1.0,True,1993.0,21953.0,48.0,,,,,1.0,,,,42.0,,,2.0
250000.0,Faro,Loulé,São Clemente,Apartment,C,Ground Floor,True,0.0,False,2009.0,85.0,96.0,,,,,2.0,,,,85.0,,,1.0
620000.0,Faro,Lagos,São Gonçalo de Lagos,Apartment,A,2nd Floor,True,1.0,True,2022.0,94.0,116.0,,,,,2.0,,,,74.0,,,2.0
595000.0,Faro,Lagos,São Gonçalo de Lagos,Apartment,A,1st Floor,True,1.0,True,2022.0,80.0,106.0,,,,,1.0,,,,66.0,,,2.0
435000.0,Faro,Loulé,São Clemente,House,D,Ground Floor,False,2.0,True,1958.0,226.0,,,,,,3.0,,,,184.0,,,2.0
615000.0,Faro,Lagos,São Gonçalo de Lagos,Apartment,A,2nd Floor,True,1.0,True,2022.0,80.0,106.0,,,,,1.0,,,,66.0,,,2.0
185000.0,Faro,Loulé,Quarteira,Apartment,D,Above 10th Floor,True,0.0,False,1978.0,38.0,48.0,,,,,0.0,,,,38.0,,,1.0
185000.0,Faro,Portimão,Portimão,Apartment,D,Above 10th Floor,True,0.0,False,1982.0,38.0,,,,,,0.0,,,,34.0,,,1.0
210000.0,Faro,Faro,Conceição e Estoi,Farm,NC,,False,3.0,True,1951.0,4600.0,177.0,,,,,5.0,,,,177.0,,,0.0
495000.0,Faro,Loulé,Quarteira,Apartment,C,1st Floor,False,1.0,True,2003.0,139.0,,,,,,2.0,,,,139.0,,,2.0
469000.0,Faro,Loulé,São Clemente,Building,E,,False,2.0,True,1978.0,203.0,,,,,,,,,,258.0,,,0.0
139000.0,Faro,Loulé,Boliqueime,Land,NC,,False,0.0,False,,32966.0,,,,,,,,,,,,,0.0
19000.0,Faro,Lagoa (Algarve),Estômbar e Parchal,Land,NC,,False,0.0,False,,3710.0,3710.0,,,,,,,,,3710.0,,,0.0
272000.0,Faro,Albufeira,Albufeira e Olhos de Água,Apartment,A,1st Floor,True,1.0,True,,10560.0,67.0,,,,,1.0,,,,49.0,,,1.0
291000.0,Faro,Albufeira,Albufeira e Olhos de Água,Apartment,B,1st Floor,True,1.0,True,,10560.0,67.0,,,,,1.0,,,,50.0,,,1.0
223000.0,Faro,São Brás de Alportel,São Brás de Alportel,Apartment,A+,Ground Floor,True,1.0,True,,81.0,,,,,,2.0,,,,81.0,,,2.0
228000.0,Faro,São Brás de Alportel,São Brás de Alportel,Apartment,A+,Ground Floor,True,1.0,True,,108.0,,,,,,2.0,,,,108.0,,,2.0
250000.0,Faro,São Brás de Alportel,São Brás de Alportel,Apartment,A+,1st Floor,True,1.0,True,,115.0,,,,,,2.0,,,,115.0,,,2.0
165000.0,Faro,Castro Marim,Altura,Land,NC,,False,3.0,True,2023.0,960.0,,,,,,,,,,,,,0.0
75000.0,Faro,Olhão,Moncarapacho e Fuseta,Land,NC,,False,0.0,False,,760.0,,,,,,,,,,760.0,,,0.0
159900.0,Faro,Portimão,Portimão,Apartment,D,3rd Floor,True,0.0,False,1987.0,55.0,55.0,,,,,1.0,,,,50.0,,,1.0
320000.0,Faro,Albufeira,Albufeira e Olhos de Água,Store,C,,False,0.0,False,1987.0,69.0,159.0,,,,,,,,,69.0,,,0.0
340000.0,Faro,Albufeira,Albufeira e Olhos de Água,Apartment,D,Ground Floor,False,0.0,False,1975.0,91.0,,,,,,3.0,,,,85.0,,,2.0
195000.0,Faro,Vila do Bispo,Vila do Bispo e Raposeira,House,NC,,False,0.0,False,1937.0,137.0,110.0,,,,,0.0,,,,110.0,,,0.0
195000.0,Faro,Loulé,Quarteira,Apartment,C,Ground Floor,True,0.0,False,2009.0,660.0,25.0,,,,,0.0,,,,76.0,,,1.0
360000.0,Faro,Loulé,Quarteira,Apartment,C,1st Floor,True,1.0,True,1994.0,72.0,,,,,,1.0,,,,72.0,,,1.0
335000.0,Faro,Albufeira,Albufeira e Olhos de Água,Apartment,NC,Ground Floor,False,0.0,False,2023.0,574.0,,,,,,2.0,,,,86.0,,,2.0
96500.0,Faro,Vila Real de Santo António,Vila Nova de Cacela,House,NC,,False,0.0,False,1950.0,211.0,135.0,,,,,2.0,,,,135.0,,,1.0
565000.0,Faro,Lagos,São Gonçalo de Lagos,Apartment,A,Ground Floor,True,1.0,True,2022.0,90.0,97.0,,,,,2.0,,,,72.0,,,2.0
320000.0,Faro,Loulé,São Sebastião,Apartment,A,1st Floor,True,1.0,True,2023.0,308.0,95.0,,,,,2.0,,,,77.0,,,2.0
279900.0,Faro,Faro,Faro (Sé e São Pedro),Apartment,D,Ground Floor,True,0.0,False,1980.0,90.0,,,,,,3.0,,,,90.0,,,2.0
147000.0,Faro,Vila Real de Santo António,Vila Real de Santo António,Apartment,C,1st Floor,False,0.0,False,2008.0,148.0,,,,,,1.0,,,,42.0,,,1.0
615000.0,Faro,Loulé,São Clemente,Apartment,D,3rd Floor,True,2.0,True,1992.0,218.0,338.0,,,,,4.0,,,,218.0,,,3.0
17000.0,Faro,Albufeira,Albufeira e Olhos de Água,Apartment,B,1st Floor,True,1.0,True,1986.0,70.0,,,,,,1.0,,,,70.0,,,1.0
600000.0,Faro,Lagos,São Gonçalo de Lagos,Apartment,A,1st Floor,True,1.0,True,2022.0,97.0,118.0,,,,,1.0,,,,79.0,,,2.0
605000.0,Faro,Albufeira,Albufeira e Olhos de Água,House,C,,False,2.0,True,1976.0,640.0,113.0,,,,,3.0,,,,113.0,,,3.0
125000.0,Faro,Portimão,Portimão,Other - Residential,NC,Ground Floor,True,2.0,True,1982.0,55.0,,,,,,2.0,,,,55.0,,,1.0
18500000.0,Faro,Faro,Faro (Sé e São Pedro),Land,D,,False,0.0,False,,45400.0,,,,,,,,,,,,,0.0
340000.0,Faro,Olhão,Olhão,Apartment,C,6th Floor,True,0.0,False,1984.0,152.0,,,,,,3.0,,,,152.0,,,2.0
325000.0,Faro,Vila Real de Santo António,Vila Nova de Cacela,House,D,Ground Floor,False,1.0,True,2004.0,110.0,124.0,,,,,3.0,,,,102.0,,,3.0
585000.0,Faro,Lagos,São Gonçalo de Lagos,Apartment,A,Ground Floor,True,1.0,True,2022.0,94.0,117.0,,,,,2.0,,,,74.0,,,2.0
330000.0,Faro,Loulé,São Sebastião,Apartment,A,2nd Floor,True,1.0,True,2023.0,308.0,95.0,,,,,2.0,,,,77.0,,,2.0
205000.0,Faro,Portimão,Portimão,Store,C,Ground Floor,False,0.0,False,2005.0,122.0,,,,,,,,,,,,,0.0
150000.0,Faro,Faro,Faro (Sé e São Pedro),Store,B,Ground Floor,False,0.0,False,,100.0,228.0,,,,,,,,,228.0,,,1.0
8000.0,Faro,Albufeira,Albufeira e Olhos de Água,Apartment,NC,3rd Floor,True,1.0,True,1974.0,41.0,,,,,,1.0,,,,41.0,,,1.0
230000.0,Faro,Lagos,São Gonçalo de Lagos,Land,NC,,False,0.0,False,,407.0,407.0,,,,,0.0,,,,200.0,,,0.0
1000000.0,Faro,Silves,Silves,Farm,NC,,False,3.0,True,,133616.0,133616.0,,,,,10.0,,,,2148.0,,,5.0
890000.0,Faro,Tavira,Tavira (Santa Maria e Santiago),Land,NC,,False,0.0,False,,2668.0,,,,,,,,,,,,,0.0
615000.0,Faro,Lagos,São Gonçalo de Lagos,Apartment,A,1st Floor,True,1.0,True,2022.0,93.0,107.0,,,,,2.0,,,,74.0,,,2.0
87500.0,Faro,Albufeira,Albufeira e Olhos de Água,Apartment,C,Ground Floor,True,3.0,True,2008.0,30.0,,,,,,0.0,,,,30.0,,,1.0
45000.0,Faro,Vila do Bispo,Vila do Bispo e Raposeira,Land,NC,,False,0.0,False,,6750.0,,,,,,,,,,,,,0.0
115000.0,Faro,Loulé,Alte,Land,NC,,False,0.0,False,,21740.0,,,,,,,,,,,,,0.0
